team_id,team_name,league,year,season,matches,wins,draws,losses,scored,conceded,xG,xGA,npxG,npxGA,deep,deep_allowed,pts,xpts,ppda_coef,oppda_coef,npxGD,xG_diff,xGA_diff,xpts_diff,position,scrape_timestamp
220,Brighton,EPL,2019,2019/20,38,9,14,15,39,54,47.42406100000001,60.41584899999999,45.901730000000015,58.89350899999999,242,264,41,48.02409999999999,10.35894495412844,12.783088235294118,-12.991778999999973,8.424061000000009,6.415848999999987,7.02409999999999,15,2025-09-01T17:43:15.144962
81,West Ham,EPL,2019,2019/20,38,10,9,19,49,62,49.0691132,68.323322,46.0244362,63.75633899999999,217,308,39,38.747400000000006,13.215922798552471,9.501940491591204,-17.731902799999993,0.0691131999999967,6.3233220000000046,-0.2525999999999939,16,2025-09-01T17:43:15.144962
71,Aston Villa,EPL,2019,2019/20,38,9,8,21,41,67,45.08898899999999,71.595382,42.65250099999999,66.88436700000001,186,343,35,37.22690000000001,12.341207349081364,7.889137737961926,-24.231866000000025,4.088988999999991,4.595382000000001,2.226900000000008,17,2025-09-01T17:43:15.144962
73,Bournemouth,EPL,2019,2019/20,38,9,7,22,40,65,44.6710449,63.29434499999999,41.6264589,58.727336999999984,210,326,34,39.1979,13.378205128205128,9.148456057007126,-17.10087809999998,4.671044899999998,-1.7056550000000072,5.197900000000004,18,2025-09-01T17:43:15.144962
90,Watford,EPL,2019,2019/20,38,8,10,20,36,64,48.56263699999999,59.528113000000005,42.47327499999999,52.522923,227,259,34,47.87369999999999,12.196610169491525,9.644351464435148,-10.049648000000012,12.562636999999988,-4.471886999999995,13.873699999999992,19,2025-09-01T17:43:15.144962
79,Norwich,EPL,2019,2019/20,38,5,6,27,26,75,37.234174900000006,71.60755700000001,35.7118339,66.126467,207,345,21,33.12230000000002,12.594202898550725,9.653769841269842,-30.414633100000003,11.234174900000006,-3.392442999999986,12.122300000000015,20,2025-09-01T17:43:15.144962
88,Manchester City,EPL,2020,2020/21,38,27,5,6,83,32,77.715218,30.61327409999999,70.864704,22.8165561,405,150,86,83.38159999999999,10.112559241706162,20.385611510791367,48.0481479,-5.284782000000007,-1.386725900000009,-2.6184000000000083,1,2025-09-01T17:43:15.144962
89,Manchester United,EPL,2020,2020/21,38,21,11,6,73,44,63.17223699999997,41.917999,54.79945899999998,38.87337,339,186,74,65.63639999999997,10.946449359720605,12.45679012345679,15.926088999999976,-9.827763000000026,-2.082000999999998,-8.363600000000034,2,2025-09-01T17:43:15.144962
87,Liverpool,EPL,2020,2020/21,38,20,9,9,68,42,72.207518,47.30458800000002,67.64050799999998,41.21524200000002,458,144,69,68.7981,9.125835189309576,18.568464730290454,26.425265999999965,4.207517999999993,5.304588000000017,-0.2018999999999948,3,2025-09-01T17:43:15.144962
80,Chelsea,EPL,2020,2020/21,38,19,10,9,58,36,68.65559400000001,30.904465,61.043974000000006,27.859784,337,179,67,77.4102,9.19343891402715,16.5,33.18419000000001,10.655594000000008,-5.095535000000002,10.410200000000003,4,2025-09-01T17:43:15.144962
75,Leicester,EPL,2020,2020/21,38,20,6,12,68,50,58.80011600000001,47.06503269999999,49.666092000000006,44.0203537,237,209,66,59.74900000000002,9.99439461883408,13.502463054187192,5.645738300000005,-9.19988399999999,-2.934967300000011,-6.250999999999984,5,2025-09-01T17:43:15.144962
81,West Ham,EPL,2020,2020/21,38,19,8,11,62,47,60.33827100000001,49.862080000000006,57.132841000000006,46.056243,172,286,65,59.1827,16.45179856115108,11.07909604519774,11.076598000000011,-1.661728999999987,2.862080000000006,-5.817300000000003,6,2025-09-01T17:43:15.144962
82,Tottenham,EPL,2020,2020/21,38,18,8,12,68,45,56.676279,52.55146,52.870451,44.93976299999999,193,293,62,53.9769,11.268090154211151,11.517169614984391,7.930688000000011,-11.323721000000006,7.551459999999999,-8.0231,7,2025-09-01T17:43:15.144962
83,Arsenal,EPL,2020,2020/21,38,18,7,13,55,39,52.247381,43.232285,47.680362,40.94885169999999,292,203,61,58.71769999999999,13.642061281337048,16.277699859747546,6.731510300000004,-2.752619000000003,4.232284999999997,-2.282300000000013,8,2025-09-01T17:43:15.144962
72,Everton,EPL,2020,2020/21,38,17,8,13,47,48,49.23711799999999,50.16416100000001,45.41766999999998,47.119485000000005,207,270,59,50.7233,14.213010204081632,11.818906605922551,-1.7018150000000247,2.237117999999988,2.164161000000007,-8.276700000000005,9,2025-09-01T17:43:15.144962
245,Leeds,EPL,2020,2020/21,38,18,5,15,62,54,59.25863799999999,63.021957,56.213962,56.010729,305,283,59,51.8098,7.168845315904139,12.273863636363636,0.2032330000000044,-2.7413620000000094,9.021957,-7.190200000000004,10,2025-09-01T17:43:15.144962
71,Aston Villa,EPL,2020,2020/21,38,16,7,15,55,46,56.715489000000005,53.25255619999999,52.14847200000001,48.68559260000001,274,312,55,54.06,10.842171717171718,9.261349693251534,3.4628794000000056,1.7154890000000051,7.252556199999987,-0.9399999999999976,11,2025-09-01T17:43:15.144962
86,Newcastle United,EPL,2020,2020/21,38,12,9,17,46,62,43.959188,60.02364799999998,38.45959,56.21782899999998,138,322,45,42.65110000000001,17.998487140695914,8.271971496437054,-17.758238999999982,-2.0408120000000025,-1.97635200000002,-2.3488999999999933,12,2025-09-01T17:43:15.144962
229,Wolverhampton Wanderers,EPL,2020,2020/21,38,12,9,17,36,52,38.61903800000001,52.19414400000001,35.574369,46.104809,139,270,45,44.2578,14.125,11.505202312138728,-10.53044,2.6190380000000104,0.1941440000000085,-0.742200000000004,13,2025-09-01T17:43:15.144962
78,Crystal Palace,EPL,2020,2020/21,38,12,8,18,41,66,35.2866084,61.90394699999998,32.2419274,58.85927499999998,201,272,44,37.9485,16.136671177266578,7.60337552742616,-26.61734759999998,-5.713391600000001,-4.096053000000019,-6.051500000000004,14,2025-09-01T17:43:15.144962
74,Southampton,EPL,2020,2020/21,38,12,7,19,47,68,45.284568,58.548461,40.717553,51.697928,222,275,43,44.173,9.733257661748013,10.465625,-10.980374999999997,-1.7154319999999998,-9.451538999999997,1.1730000000000018,15,2025-09-01T17:43:15.144962
220,Brighton,EPL,2020,2020/21,38,9,14,15,40,46,53.819028,39.906692,46.968639,34.578506999999995,311,208,41,61.40669999999997,10.3125,13.632928475033738,12.390132,13.819027999999996,-6.093308,20.40669999999997,16,2025-09-01T17:43:15.144962
92,Burnley,EPL,2020,2020/21,38,10,9,19,33,55,38.1279285,59.056713,35.84441350000001,56.773208,233,332,39,38.1024,13.159653465346535,9.718654434250764,-20.928794499999995,5.127928500000003,4.056713000000002,-0.8976000000000042,17,2025-09-01T17:43:15.144962
228,Fulham,EPL,2020,2020/21,38,5,13,20,27,53,41.055309,57.6358378,36.4883067,52.30765780000001,224,227,28,42.41830000000001,12.161057692307692,10.376826722338205,-15.819351100000013,14.055308999999994,4.6358378000000044,14.41830000000001,18,2025-09-01T17:43:15.144962
76,West Bromwich Albion,EPL,2020,2020/21,38,5,11,22,35,76,34.9712902,74.03887199999998,31.9266212,65.666076,164,343,26,29.592600000000004,15.985795454545457,7.985488126649076,-33.739454800000004,-0.0287098000000014,-1.9611280000000164,3.5926000000000045,19,2025-09-01T17:43:15.144962
238,Sheffield United,EPL,2020,2020/21,38,7,2,29,20,63,33.1591767,66.10782100000002,30.114499100000007,63.063154,198,285,23,29.9189,14.103806228373704,11.489326765188832,-32.948654899999994,13.159176700000003,3.1078210000000155,6.918899999999997,20,2025-09-01T17:43:15.144962
88,Manchester City,EPL,2021,2021/22,38,29,6,3,99,26,93.39987299999996,25.212244,86.32423299999999,24.451079,508,138,93,91.8845,8.521315468940317,22.92153589315526,61.87315399999999,-5.600127000000029,-0.7877559999999981,-1.1154999999999973,1,2025-09-01T17:43:15.144962
87,Liverpool,EPL,2021,2021/22,38,28,8,2,94,26,93.02239799999998,32.731055,86.83102,32.731055,461,159,92,86.56340000000003,8.071200850159405,21.7105719237435,54.099965,-0.9776020000000188,6.731054999999998,-5.43659999999997,2,2025-09-01T17:43:15.144962
80,Chelsea,EPL,2021,2021/22,38,21,11,6,76,33,69.297032,35.11562419999999,62.446512000000006,30.54861020000001,385,163,74,73.38340000000001,8.756563245823388,16.36258064516129,31.8979018,-6.702967999999999,2.115624199999992,-0.6165999999999912,3,2025-09-01T17:43:15.144962
82,Tottenham,EPL,2021,2021/22,38,22,5,11,69,40,67.9513206,43.69930299999999,64.1454716,42.17696299999999,285,255,71,66.09469999999997,12.53042328042328,12.384701912260969,21.968508600000007,-1.0486793999999977,3.699302999999993,-4.905300000000025,4,2025-09-01T17:43:15.144962
83,Arsenal,EPL,2021,2021/22,38,22,3,13,61,48,63.39157700000001,48.389506,57.191476,43.822492,314,220,69,64.7622,12.553370786516854,13.940085592011412,13.368983999999998,2.3915770000000123,0.3895060000000043,-4.237799999999993,5,2025-09-01T17:43:15.144962
89,Manchester United,EPL,2021,2021/22,38,16,10,12,57,57,57.214908,56.85227999999999,53.409058,53.046457,293,261,58,54.52470000000001,12.83918918918919,12.092233009708735,0.362601000000005,0.2149079999999941,-0.1477200000000067,-3.47529999999999,6,2025-09-01T17:43:15.144962
81,West Ham,EPL,2021,2021/22,38,16,8,14,60,51,54.98359900000002,53.87672200000001,50.26077400000001,49.30970000000001,239,294,56,53.56340000000001,14.058571428571428,13.775193798449612,0.9510740000000056,-5.016400999999981,2.876722000000008,-2.4365999999999914,7,2025-09-01T17:43:15.144962
75,Leicester,EPL,2021,2021/22,38,14,10,14,62,59,49.4886742,66.10659400000002,47.9663352,59.063358,252,293,52,42.31229999999999,11.78048780487805,12.4,-11.097022800000005,-12.511325800000002,7.106594000000015,-9.687700000000008,8,2025-09-01T17:43:15.144962
220,Brighton,EPL,2021,2021/22,38,12,15,11,42,44,49.567475,47.211438,44.23931299999999,44.16679799999999,305,244,51,54.1822,9.372119815668205,13.443569553805776,0.0725149999999956,7.567475000000002,3.211437999999994,3.1821999999999946,9,2025-09-01T17:43:15.144962
229,Wolverhampton Wanderers,EPL,2021,2021/22,38,15,6,17,38,43,39.04307089999999,58.48269700000001,38.28190089999999,50.87105099999999,181,309,51,40.5351,14.643795620437956,11.321995464852607,-12.589150099999998,1.0430708999999894,15.482697000000009,-10.4649,10,2025-09-01T17:43:15.144962
86,Newcastle United,EPL,2021,2021/22,38,13,10,15,44,62,41.526526,62.711766,39.24301299999999,57.98893999999999,170,293,49,41.52550000000001,13.800262812089356,7.848069738480698,-18.745926999999995,-2.473474000000003,0.7117659999999972,-7.474499999999992,11,2025-09-01T17:43:15.144962
78,Crystal Palace,EPL,2021,2021/22,38,11,15,12,50,46,48.843907,41.3314426,42.663892,38.28677459999998,213,238,48,58.15,11.381770145310435,9.563097514340344,4.377117400000017,-1.1560929999999985,-4.6685574000000045,10.15,12,2025-09-01T17:43:15.144962
244,Brentford,EPL,2021,2021/22,38,13,7,18,48,56,52.889575,49.500452,48.322585,45.694635000000005,232,226,46,55.9965,11.664490861618798,10.200808625336927,2.627949999999992,4.889575000000001,-6.499548000000004,9.996499999999996,13,2025-09-01T17:43:15.144962
71,Aston Villa,EPL,2021,2021/22,38,13,6,19,52,54,43.12954299999999,53.09572500000001,40.84603499999999,48.41795600000002,258,258,45,46.20119999999999,12.91469816272966,8.930365296803654,-7.571921000000024,-8.870457000000009,-0.9042749999999912,1.201199999999993,14,2025-09-01T17:43:15.144962
74,Southampton,EPL,2021,2021/22,38,9,13,16,43,67,47.34804199999999,64.557484,44.303364,63.03514400000001,209,286,40,43.44809999999999,10.498792270531402,9.55297157622739,-18.73178000000001,4.348041999999992,-2.4425159999999977,3.448099999999989,15,2025-09-01T17:43:15.144962
72,Everton,EPL,2021,2021/22,38,11,6,21,43,66,44.46973099999999,60.694247,39.14160999999999,59.171904000000005,190,299,39,43.538,14.0286783042394,7.827541827541827,-20.03029400000001,1.4697309999999888,-5.305752999999996,4.538000000000004,16,2025-09-01T17:43:15.144962
245,Leeds,EPL,2021,2021/22,38,9,11,18,42,79,51.186082000000006,71.30961199999999,47.380234,67.503772,239,300,38,43.85870000000002,8.58095238095238,11.339712918660288,-20.123538,9.186082000000006,-7.690388000000013,5.85870000000002,17,2025-09-01T17:43:15.144962
92,Burnley,EPL,2021,2021/22,38,7,14,17,34,53,41.1058913,60.22312,39.5835523,56.417304,184,316,35,38.1035,12.88875,9.495741056218058,-16.8337517,7.105891299999996,7.223119999999994,3.103500000000004,18,2025-09-01T17:43:15.144962
90,Watford,EPL,2021,2021/22,38,6,5,27,34,77,39.340391,67.53443,37.818061,62.20624,159,339,23,35.4528,14.265706806282722,7.623705408515535,-24.388179,5.340390999999997,-9.46557,12.452799999999996,19,2025-09-01T17:43:15.144962
79,Norwich,EPL,2021,2021/22,38,5,7,26,23,84,31.5116008,80.07547500000003,29.22812980000001,70.71633700000001,188,374,22,25.0385,15.326979472140762,9.353418308227116,-41.488207200000005,8.5116008,-3.9245249999999743,3.0384999999999955,20,2025-09-01T17:43:15.144962
88,Manchester City,EPL,2022,2022/23,38,28,5,5,94,33,84.32156700000002,34.208414899999994,76.70989100000001,31.924897699999995,450,154,89,83.04229999999998,10.333778371161548,22.324409448818898,44.78499330000002,-9.678432999999984,1.208414899999994,-5.957700000000017,1,2025-09-01T17:43:15.144962
83,Arsenal,EPL,2022,2022/23,38,26,6,6,88,43,76.512308,45.16339229999999,73.467624,41.3575353,452,199,84,72.5338,9.553299492385786,14.364511691884458,32.110088700000006,-11.487691999999996,2.163392299999991,-11.4662,2,2025-09-01T17:43:15.144962
