team_id,team_name,understat_league,year,understat_season,matches,wins,draws,losses,scored,conceded,xG,xGA,npxG,npxGA,deep,deep_allowed,pts,xpts,ppda_coef,oppda_coef,npxGD,xG_diff,xGA_diff,xpts_diff,position,scrape_timestamp,understat_id,understat_name,transfermarkt_id,transfermarkt_club,transfermarkt_season,transfermarkt_league,transfermarkt_joined_club,total_spent,players_bought,loans,funds_received,net_spend,avg_age,age_std,young_u21_pct,veteran_o30_pct,avg_height,squad_size,manager_count_season,primary_manager_tenure,manager_change_flag,revenue,wage_bill,gd,xGD,npxGD_calc,goals_minus_xG,goals_conceded_minus_xGA,gd_minus_xGD,pts_minus_xpts,deep_diff,deep_ratio,big_six,qualified_for_europe,top_half,mid_table_band,at_risk_position,relegated,net_spend_per_point,total_spent_per_point,net_spend_per_xpt,total_spent_per_xpt,points_rank,xpts_rank,gd_rank,xGD_rank,npxGD_rank,xGA_rank,npxGA_rank,total_spent_rank,net_spend_rank,funds_received_rank,avg_age_rank,squad_size_rank,net_spend_efficiency_npxGD,total_spend_efficiency_npxGD,net_spend_efficiency_position,young_plus_peak_balance,age_risk_flag,multiple_managers,wage_to_revenue,net_spend_to_revenue,total_spent_to_revenue,wage_per_point,revenue_per_point,revenue_rank,wage_rank,wage_efficiency_npxGD,revenue_efficiency_npxGD,wage_efficiency_position,next_position,next_pts,next_npxGD,survived_next_season,top_15_next_season,mid_table_next_season,position_t_plus_2,survived_next_2_seasons,top_15_next_2_seasons
220,Brighton,EPL,2018,2018/19,38,9,9,20,35,60,37.027868,62.462145,32.46084400000001,54.850534,153,321,36,36.186,13.629770992366412,10.15086782376502,-22.389689999999987,2.027867999999998,2.462145,0.1859999999999999,17,2025-09-01T17:43:15.144962,220,Brighton,1237,Brighton & Hove Albion,2018,Premier League,Brighton & Hove Albion,90620000.0,16,0,13620000.0,77000000.0,26.023271731690624,3.845117791016457,0.16,0.16,184.56,25,1,3,0,143.0,102.0,-25,-25.434277,-22.389689999999995,-2.027867999999998,-2.4621449999999996,0.4342770000000016,-0.18599999999999994,-168,0.4766355140186916,0,0,0,0,1,0,2138888.888888889,2517222.222222222,2127894.7659315756,2504283.4245288232,17.0,18.0,17.0,18.0,17.0,14.0,12.0,9.0,6.0,13.0,12.0,17.0,-11.0,-8.0,-11.0,0.0,0,0,0.7132867132867133,538461.5384615385,633706.2937062937,2.8333333333333335,3.9722222222222223,15.0,13.0,-4.0,-2.0,-4.0,15.0,41.0,-12.991778999999973,1,1,1,16.0,1,0
220,Brighton,EPL,2019,2019/20,38,9,14,15,39,54,47.42406100000001,60.41584899999999,45.901730000000015,58.89350899999999,242,264,41,48.02409999999999,10.35894495412844,12.783088235294118,-12.991778999999973,8.424061000000009,6.415848999999987,7.02409999999999,15,2025-09-01T17:43:15.144962,220,Brighton,1237,Brighton & Hove Albion,2019,Premier League,Brighton & Hove Albion,61740000.0,7,1,8500000.0,53240000.0,26.19526742935367,4.104707538153344,0.1785714285714285,0.2142857142857142,182.4642857142857,28,1,0,0,133.0,103.0,-15,-12.991787999999978,-12.991778999999973,-8.424061000000009,-6.415848999999987,-2.0082120000000216,-7.02409999999999,-22,0.9166666666666666,0,0,0,1,0,0,1298536.5853658537,1505853.6585365853,1108610.0520363736,1285604.5193975528,15.0,13.0,14.0,14.0,14.0,15.0,16.0,12.0,9.0,17.0,15.0,18.0,-5.0,-2.0,-6.0,-0.0357142857142857,1,0,0.7744360902255639,400300.75187969924,464210.5263157895,2.5121951219512195,3.2439024390243905,14.0,15.0,1.0,0.0,0.0,16.0,41.0,12.390132,1,0,0,9.0,1,0
220,Brighton,EPL,2020,2020/21,38,9,14,15,40,46,53.819028,39.906692,46.968639,34.578506999999995,311,208,41,61.40669999999997,10.3125,13.632928475033738,12.390132,13.819027999999996,-6.093308,20.40669999999997,16,2025-09-01T17:43:15.144962,220,Brighton,1237,Brighton & Hove Albion,2020,Premier League,Brighton & Hove Albion,50100000.0,8,0,20600000.0,29500000.0,24.37203480981715,4.072078395399112,0.2571428571428571,0.0571428571428571,182.45714285714288,35,1,1,0,146.0,109.0,-6,13.912336000000003,12.390132000000008,-13.819028000000003,6.093308,-19.912336000000003,-20.406699999999972,103,1.4951923076923077,0,0,0,0,1,0,719512.1951219512,1221951.219512195,480403.6041669722,815871.8836869596,16.0,5.0,12.0,5.0,5.0,3.0,3.0,14.0,14.0,7.0,4.0,4.0,9.0,9.0,-2.0,0.2,0,0,0.7465753424657534,202054.79452054793,343150.68493150687,2.658536585365854,3.5609756097560976,14.0,15.0,10.0,9.0,-1.0,9.0,51.0,0.0725149999999956,1,1,1,6.0,1,1
220,Brighton,EPL,2021,2021/22,38,12,15,11,42,44,49.567475,47.211438,44.23931299999999,44.16679799999999,305,244,51,54.1822,9.372119815668205,13.443569553805776,0.0725149999999956,7.567475000000002,3.211437999999994,3.1821999999999946,9,2025-09-01T17:43:15.144962,220,Brighton,1237,Brighton & Hove Albion,2021,Premier League,Brighton & Hove Albion,75580000.0,8,0,78800000.0,-3220000.0,24.22239170822333,4.364493980909833,0.2857142857142857,0.1142857142857142,183.28571428571428,35,1,2,0,175.0,115.0,-2,2.3560370000000006,0.07251499999999567,-7.567475000000002,-3.211438000000001,-4.356037000000001,-3.1822000000000017,61,1.25,0,0,1,1,0,0,-63137.25490196078,1481960.7843137255,-59429.11140559077,1394923.055911351,9.0,9.0,10.0,8.0,10.0,6.0,7.0,10.0,18.0,4.0,8.0,7.0,8.0,0.0,9.0,0.17142857142857149,0,0,0.6571428571428571,-18400.0,431885.71428571426,2.2549019607843137,3.4313725490196076,13.0,16.0,6.0,3.0,7.0,6.0,62.0,29.179226000000007,1,1,0,13.0,1,1
220,Brighton,EPL,2022,2022/23,38,18,8,12,72,53,77.72342200000001,50.154518,73.15639800000001,43.977172,362,231,62,70.85740000000001,8.92789598108747,15.00875,29.179226000000007,5.7234220000000136,-2.845481999999997,8.857400000000013,6,2025-09-01T17:43:15.144962,220,Brighton,1237,Brighton & Hove Albion,2022,Premier League,Brighton & Hove Albion,55700000.0,7,1,138400000.0,-82700000.0,23.646660799843552,4.777155885774053,0.4,0.1714285714285714,180.37142857142857,35,2,0,1,204.0,128.0,19,27.56890400000001,29.179226000000007,-5.7234220000000136,2.845481999999997,-8.56890400000001,-8.857400000000013,131,1.567099567099567,0,1,1,0,0,0,-1333870.9677419355,898387.0967741936,-1167132.8612113905,786085.8569464867,6.0,4.0,5.0,4.0,4.0,4.0,4.0,17.0,20.0,2.0,2.0,10.0,16.0,13.0,14.0,0.22857142857142862,0,1,0.6274509803921569,-405392.1568627451,273039.2156862745,2.064516129032258,3.2903225806451615,10.0,17.0,13.0,6.0,11.0,13.0,48.0,0.8521564999999853,1,1,1,8.0,1,1
220,Brighton,EPL,2023,2023/24,38,12,12,14,55,62,61.910402,60.9371845,57.222334,56.37017750000001,361,314,48,54.43240000000002,9.995354239256676,17.218712029161605,0.8521564999999853,6.910401999999998,-1.0628154999999992,6.432400000000023,13,2025-09-01T17:43:15.144962,220,Brighton,1237,Brighton & Hove Albion,2023,Premier League,Brighton & Hove Albion,106850000.0,8,1,189000000.0,-82150000.0,23.78034012530932,5.457447923038678,0.4871794871794871,0.1794871794871795,172.23076923076923,39,1,0,0,261.0,146.0,-7,0.973217499999997,0.8521564999999853,-6.910401999999998,1.0628154999999992,-7.973217499999997,-6.4324000000000225,47,1.1496815286624205,0,0,0,1,0,0,-1711458.3333333333,2226041.6666666665,-1509211.4255480187,1962985.28082539,11.0,8.0,11.0,9.0,11.0,8.0,7.0,13.0,20.0,2.0,4.0,5.0,9.0,2.0,7.0,0.3076923076923076,0,0,0.5593869731800766,-314750.95785440615,409386.97318007663,3.0416666666666665,5.4375,10.0,13.0,2.0,-1.0,0.0,8.0,61.0,7.675214999999987,1,1,1,,0,0
220,Brighton,EPL,2024,2024/25,38,16,13,9,66,59,65.27686999999999,59.123991,59.94868399999999,52.273469,322,243,61,57.26350000000002,9.933127572016462,12.555974842767297,7.675214999999987,-0.7231300000000118,0.1239910000000037,-3.736499999999978,8,2025-09-01T17:43:15.144962,220,Brighton,1237,Brighton & Hove Albion,2024,Premier League,Brighton & Hove Albion,281450000.0,12,0,49990000.0,231460000.0,23.61774388057756,5.028445830311059,0.3809523809523809,0.1428571428571428,160.38095238095238,42,1,0,0,222.0,165.0,7,6.1528789999999915,7.675214999999994,0.7231300000000118,-0.12399099999999663,0.8471210000000085,3.736499999999978,79,1.3251028806584362,0,0,1,1,0,0,3794426.229508197,4613934.426229509,4042016.2931011887,4914998.210029074,8.0,10.0,9.0,11.0,9.0,12.0,8.0,2.0,1.0,15.0,3.0,1.0,-8.0,-7.0,-7.0,0.23809523809523808,0,0,0.7432432432432432,1042612.6126126127,1267792.792792793,2.7049180327868854,3.639344262295082,10.0,12.0,3.0,1.0,4.0,,,,0,0,0,,0,0
92,Burnley,EPL,2016,2016/17,38,11,7,20,39,55,35.591733999999995,55.26861699999999,31.024714000000003,51.248536,174,290,40,38.35810000000001,12.129742962056303,9.301391035548686,-20.22382199999999,-3.4082660000000047,0.2686169999999848,-1.6418999999999926,17,2025-09-01T17:43:15.144962,92,Burnley,1132,Burnley FC,2016,Premier League,Burnley FC,45600000.0,10,2,1200000.0,44400000.0,26.42720250317786,3.912094846064681,0.0714285714285714,0.2142857142857142,183.17857142857144,28,1,3,0,121.0,61.2,-16,-19.676882999999997,-20.223822,3.4082660000000047,-0.2686169999999919,3.6768829999999966,1.6418999999999926,-116,0.6,0,0,0,0,1,0,1110000.0,1140000.0,1157513.015503896,1188797.1510580552,16.0,16.0,14.0,16.0,16.0,14.0,14.0,15.0,5.0,20.0,12.0,15.0,-11.0,-1.0,-12.0,-0.1428571428571428,1,0,0.5057851239669422,366942.1487603306,376859.5041322314,1.53,3.025,18.0,20.0,4.0,2.0,3.0,7.0,54.0,-15.579331000000003,1,1,0,15.0,1,1
92,Burnley,EPL,2017,2017/18,38,14,12,12,36,39,32.771712,52.156891,32.771712,48.351043,162,305,54,41.00169999999999,13.672992700729926,10.2572741194487,-15.579331000000003,-3.228287999999999,13.156891000000002,-12.998300000000008,7,2025-09-01T17:43:15.144962,92,Burnley,1132,Burnley FC,2017,Premier League,Burnley FC,35740000.0,10,1,50000000.0,-14260000.0,27.50954707451202,3.898139215770202,0.0689655172413793,0.2758620689655172,182.31034482758625,29,1,4,0,139.0,81.6,-3,-19.385179,-15.579330999999996,3.228287999999999,-13.156891000000002,16.385179,12.998300000000008,-143,0.5311475409836065,0,1,1,0,0,0,-264074.0740740741,661851.8518518518,-347790.45746883674,871671.1746098334,7.0,14.0,7.0,15.0,14.0,10.0,11.0,19.0,19.0,11.0,20.0,12.0,5.0,5.0,12.0,-0.2068965517241379,1,0,0.5870503597122302,-102589.92805755396,257122.30215827338,1.511111111111111,2.574074074074074,14.0,18.0,4.0,0.0,11.0,15.0,40.0,-20.619679099999992,1,1,1,9.0,1,1
92,Burnley,EPL,2018,2018/19,38,11,7,20,45,68,44.7412159,66.12206499999999,43.2189159,63.83859499999999,193,315,40,41.9982,13.584093872229465,10.156199677938808,-20.619679099999992,-0.2587840999999997,-1.877935000000008,1.998200000000004,15,2025-09-01T17:43:15.144962,92,Burnley,1132,Burnley FC,2018,Premier League,Burnley FC,33000000.0,4,0,8000000.0,25000000.0,27.751159784014,4.841002563327844,0.1481481481481481,0.2962962962962963,183.22222222222223,27,1,5,0,138.0,86.6,-23,-21.380849099999992,-20.619679099999992,0.25878409999999974,1.877935000000008,-1.6191509000000082,-1.998199999999997,-122,0.6126984126984127,0,0,0,1,0,0,625000.0,825000.0,595263.6065355182,785747.960626884,15.0,15.0,16.0,16.0,16.0,17.0,19.0,17.0,14.0,16.0,20.0,11.0,-2.0,1.0,-1.0,-0.14814814814814817,1,0,0.6275362318840579,181159.42028985507,239130.4347826087,2.165,3.45,17.0,17.0,1.0,1.0,2.0,9.0,54.0,-2.954927200000008,1,1,1,17.0,1,0
92,Burnley,EPL,2019,2019/20,38,15,9,14,43,50,49.3468938,53.839223,47.06338279999999,50.01831,145,263,54,49.5405,11.890377588306944,9.34841628959276,-2.954927200000008,6.346893800000004,3.839222999999997,-4.459499999999999,9,2025-09-01T17:43:15.144962,92,Burnley,1132,Burnley FC,2019,Premier League,Burnley FC,23850000.0,5,1,13550000.0,10300000.0,25.94561632754651,4.733866770168142,0.2727272727272727,0.2121212121212121,184.0,33,1,6,0,134.0,100.0,-7,-4.4923292,-2.9549272000000073,-6.346893799999997,-3.839222999999997,-2.5076707999999996,4.4594999999999985,-118,0.5513307984790875,0,0,1,1,0,0,190740.74074074073,441666.6666666667,207910.6993268134,481424.2892179126,9.0,10.0,10.0,9.0,10.0,9.0,10.0,17.0,16.0,16.0,13.0,4.0,6.0,7.0,7.0,0.06060606060606061,0,0,0.746268656716418,76865.67164179105,177985.07462686568,1.8518518518518519,2.4814814814814814,13.0,16.0,6.0,3.0,7.0,17.0,39.0,-20.928794499999995,1,0,0,18.0,1,0
92,Burnley,EPL,2020,2020/21,38,10,9,19,33,55,38.1279285,59.056713,35.84441350000001,56.773208,233,332,39,38.1024,13.159653465346535,9.718654434250764,-20.928794499999995,5.127928500000003,4.056713000000002,-0.8976000000000042,17,2025-09-01T17:43:15.144962,92,Burnley,1132,Burnley FC,2020,Premier League,Burnley FC,1100000.0,2,0,2300000.0,-1200000.0,26.152657260824444,4.919266646992399,0.2580645161290322,0.2903225806451613,183.9354838709677,31,1,7,0,115.0,85.9,-22,-20.9287845,-20.928794499999988,-5.127928500000003,-4.056713000000002,-1.071215500000001,0.8975999999999971,-99,0.7018072289156626,0,0,0,0,1,0,-30769.23076923077,28205.128205128207,-31494.07911312673,28869.572520366168,17.0,17.0,16.0,17.0,17.0,15.0,17.0,20.0,20.0,16.0,16.0,12.0,3.0,3.0,3.0,-0.032258064516129115,0,0,0.7469565217391305,-10434.782608695652,9565.217391304348,2.2025641025641027,2.948717948717949,18.0,18.0,1.0,1.0,1.0,18.0,35.0,-16.8337517,1,0,0,19.0,1,0
92,Burnley,EPL,2021,2021/22,38,7,14,17,34,53,41.1058913,60.22312,39.5835523,56.417304,184,316,35,38.1035,12.88875,9.495741056218058,-16.8337517,7.105891299999996,7.223119999999994,3.103500000000004,18,2025-09-01T17:43:15.144962,92,Burnley,1132,Burnley FC,2021,Premier League,Burnley FC,49400000.0,6,0,40500000.0,8900000.0,27.374058863791923,5.631270069304731,0.25,0.40625,178.09375,32,2,8,1,123.0,92.0,-19,-19.1172287,-16.8337517,-7.105891300000003,-7.2231200000000015,0.1172286999999983,-3.103499999999997,-132,0.5822784810126582,0,0,0,0,1,1,254285.7142857143,1411428.5714285714,233574.34356423953,1296468.8283228576,18.0,18.0,15.0,15.0,14.0,13.0,13.0,16.0,14.0,7.0,20.0,15.0,0.0,2.0,-4.0,-0.15625,0,1,0.7479674796747967,72357.72357723577,401626.0162601626,2.6285714285714286,3.5142857142857142,20.0,18.0,4.0,6.0,0.0,19.0,24.0,-29.231541400000022,1,0,0,,0,0
