club_id,club_name,season,season_id,in_premier_league,revenue,wage_bill
985,Manchester United,2024/25,2024,TRUE,667,313
641,Middlesbrough,2016/17,2016,TRUE,121,64.9
641,Middlesbrough,2017/18,2017,FALSE,62,48.7
641,Middlesbrough,2018/19,2018,FALSE,55.6,40.1
641,Middlesbrough,2019/20,2019,FALSE,20.6,31
641,Middlesbrough,2020/21,2020,FALSE,15.7,27
641,Middlesbrough,2021/22,2021,FALSE,26.9,28.4
641,Middlesbrough,2022/23,2022,FALSE,28.6,29.6
641,Middlesbrough,2023/24,2023,FALSE,32.2,31.4
641,Middlesbrough,2024/25,2024,FALSE,32.5,36.4
762,Newcastle United,2016/17,2016,FALSE,85.7,112
762,Newcastle United,2017/18,2017,TRUE,179,103
762,Newcastle United,2018/19,2018,TRUE,176,101
762,Newcastle United,2019/20,2019,TRUE,153,121
762,Newcastle United,2020/21,2020,TRUE,140,107
762,Newcastle United,2021/22,2021,TRUE,180,170
762,Newcastle United,2022/23,2022,TRUE,250,187
762,Newcastle United,2023/24,2023,TRUE,320,219
762,Newcastle United,2024/25,2024,TRUE,335,244
1123,Norwich City,2016/17,2016,FALSE,75.3,55.1
1123,Norwich City,2017/18,2017,FALSE,61.7,54.3
1123,Norwich City,2018/19,2018,FALSE,33.7,51.2
1123,Norwich City,2019/20,2019,TRUE,119,88.9
1123,Norwich City,2020/21,2020,FALSE,57.2,66.6
1123,Norwich City,2021/22,2021,TRUE,134,118
1123,Norwich City,2022/23,2022,FALSE,75.6,56.4
1123,Norwich City,2023/24,2023,FALSE,73.1,51.8
1123,Norwich City,2024/25,2024,FALSE,39.3,48.1
703,Nottingham Forest,2016/17,2016,FALSE,20.8,28.6
703,Nottingham Forest,2017/18,2017,FALSE,22.7,28.7
703,Nottingham Forest,2018/19,2018,FALSE,25.3,36.3
703,Nottingham Forest,2019/20,2019,FALSE,25.8,38.1
703,Nottingham Forest,2020/21,2020,FALSE,18.4,37.2
703,Nottingham Forest,2021/22,2021,FALSE,29.7,58.6
703,Nottingham Forest,2022/23,2022,TRUE,155,145
703,Nottingham Forest,2023/24,2023,TRUE,190,166
703,Nottingham Forest,2024/25,2024,TRUE,222,167
350,Sheffield United,2016/17,2016,FALSE,11.4,10
350,Sheffield United,2017/18,2017,FALSE,21,19
350,Sheffield United,2018/19,2018,FALSE,21.5,41.2
350,Sheffield United,2019/20,2019,TRUE,144,78.5
350,Sheffield United,2020/21,2020,TRUE,115,56.5
350,Sheffield United,2021/22,2021,FALSE,66.7,42.1
350,Sheffield United,2022/23,2022,FALSE,63.9,48.2
350,Sheffield United,2023/24,2023,TRUE,138,63.7
350,Sheffield United,2024/25,2024,FALSE,79.3,46
180,Southampton,2016/17,2016,TRUE,182,112
180,Southampton,2017/18,2017,TRUE,153,113
180,Southampton,2018/19,2018,TRUE,150,115
180,Southampton,2019/20,2019,TRUE,127,114
180,Southampton,2020/21,2020,TRUE,157,113
180,Southampton,2021/22,2021,TRUE,151,113
180,Southampton,2022/23,2022,TRUE,146,123
180,Southampton,2023/24,2023,FALSE,84.8,80.9
180,Southampton,2024/25,2024,TRUE,158,116
512,Stoke City,2016/17,2016,TRUE,136,84.9
512,Stoke City,2017/18,2017,TRUE,127,94.2
512,Stoke City,2018/19,2018,FALSE,70.6,56
512,Stoke City,2019/20,2019,FALSE,49.9,54.8
512,Stoke City,2020/21,2020,FALSE,40.4,50.2
512,Stoke City,2021/22,2021,FALSE,31.2,37.4
512,Stoke City,2022/23,2022,FALSE,31.2,30.1
512,Stoke City,2023/24,2023,FALSE,32.3,34.4
512,Stoke City,2024/25,2024,FALSE,35.4,33.2
289,Sunderland,2016/17,2016,TRUE,126,84.4
289,Sunderland,2017/18,2017,FALSE,63.7,46.8
289,Sunderland,2018/19,2018,FALSE,58.7,26.7
289,Sunderland,2019/20,2019,FALSE,29.2,16.3
289,Sunderland,2020/21,2020,FALSE,10.7,12.8
289,Sunderland,2021/22,2021,FALSE,26.1,16.3
289,Sunderland,2022/23,2022,FALSE,35.5,25.6
289,Sunderland,2023/24,2023,FALSE,38.2,31.4
289,Sunderland,2024/25,2024,FALSE,40.3,53.8
2288,Swansea City,2016/17,2016,TRUE,128,98.7
2288,Swansea City,2017/18,2017,TRUE,127,90.7
2288,Swansea City,2018/19,2018,FALSE,69.4,50.3
2288,Swansea City,2019/20,2019,FALSE,50,40.2
2288,Swansea City,2020/21,2020,FALSE,27.5,27.7
2288,Swansea City,2021/22,2021,FALSE,19.7,24.8
2288,Swansea City,2022/23,2022,FALSE,22,26.6
2288,Swansea City,2023/24,2023,FALSE,21.9,29.1
2288,Swansea City,2024/25,2024,FALSE,22.7,30.2
148,Tottenham Hotspur,2016/17,2016,TRUE,306,127
148,Tottenham Hotspur,2017/18,2017,TRUE,381,148
148,Tottenham Hotspur,2018/19,2018,TRUE,461,179
148,Tottenham Hotspur,2019/20,2019,TRUE,402,181
148,Tottenham Hotspur,2020/21,2020,TRUE,362,205
148,Tottenham Hotspur,2021/22,2021,TRUE,444,209
148,Tottenham Hotspur,2022/23,2022,TRUE,550,251
148,Tottenham Hotspur,2023/24,2023,TRUE,528,222
148,Tottenham Hotspur,2024/25,2024,TRUE,565,256
1010,Watford,2016/17,2016,TRUE,124,76
1010,Watford,2017/18,2017,TRUE,129,85.9
1010,Watford,2018/19,2018,TRUE,148,83.6
1010,Watford,2019/20,2019,TRUE,120,96.2
1010,Watford,2020/21,2020,FALSE,57.1,68.1
1010,Watford,2021/22,2021,TRUE,128,79
1010,Watford,2022/23,2022,FALSE,66.2,48.7
1010,Watford,2023/24,2023,FALSE,57.6,33
1010,Watford,2024/25,2024,FALSE,26,28.1
984,West Bromwich Albion,2016/17,2016,TRUE,138,79.1
984,West Bromwich Albion,2017/18,2017,TRUE,125,92.2
984,West Bromwich Albion,2018/19,2018,FALSE,70.8,46.8
984,West Bromwich Albion,2019/20,2019,FALSE,53.7,66.9
984,West Bromwich Albion,2020/21,2020,TRUE,107,76.9
984,West Bromwich Albion,2021/22,2021,FALSE,65.4,42.4
984,West Bromwich Albion,2022/23,2022,FALSE,56.7,45.9
984,West Bromwich Albion,2023/24,2023,FALSE,28.2,42.9
984,West Bromwich Albion,2024/25,2024,FALSE,30.4,37
379,West Ham United,2016/17,2016,TRUE,183,95
379,West Ham United,2017/18,2017,TRUE,176,107
379,West Ham United,2018/19,2018,TRUE,191,136
379,West Ham United,2019/20,2019,TRUE,140,127
379,West Ham United,2020/21,2020,TRUE,193,129
379,West Ham United,2021/22,2021,TRUE,253,136
379,West Ham United,2022/23,2022,TRUE,237,137
379,West Ham United,2023/24,2023,TRUE,270,161
379,West Ham United,2024/25,2024,TRUE,228,176
543,Wolverhampton Wanderers,2016/17,2016,FALSE,23.8,28.2
543,Wolverhampton Wanderers,2017/18,2017,FALSE,26.4,50.7
543,Wolverhampton Wanderers,2018/19,2018,TRUE,172,92.1
543,Wolverhampton Wanderers,2019/20,2019,TRUE,133,94.7
543,Wolverhampton Wanderers,2020/21,2020,TRUE,194,139
543,Wolverhampton Wanderers,2021/22,2021,TRUE,166,121
543,Wolverhampton Wanderers,2022/23,2022,TRUE,169,142
543,Wolverhampton Wanderers,2023/24,2023,TRUE,178,142
543,Wolverhampton Wanderers,2024/25,2024,TRUE,172,163
