season,league,club,total_spent,players_bought,loans,funds_received,net_spend
2021,Premier League,Manchester City,138900000.0,3,0,93800000.0,45100000.0
2021,Premier League,Manchester United,142000000.0,4,0,31100000.0,110900000.0
2021,Premier League,Newcastle United,130500000.0,6,1,0.0,130500000.0
2021,Premier League,Norwich City,63550000.0,11,4,38400000.0,25150000.0
2021,Premier League,Southampton FC,63400000.0,7,1,60350000.0,3050000.0
2021,Premier League,Tottenham Hotspur,95900000.0,7,3,34620000.0,61280000.0
2021,Premier League,Watford FC,43500000.0,18,3,12850000.0,30650000.0
2021,Premier League,West Ham United,74500000.0,5,2,4235000.0,70265000.0
2021,Premier League,Wolverhampton Wanderers,37600000.0,9,2,31800000.0,5800000.0
2022,Premier League,AFC Bournemouth,93400000.0,12,3,0.0,93400000.0
2022,Premier League,Arsenal FC,186400000.0,8,0,23800000.0,162600000.0
2022,Premier League,Aston Villa,113000000.0,9,2,54000000.0,59000000.0
2022,Premier League,Brentford FC,49250000.0,6,1,3600000.0,45650000.0
2022,Premier League,Brighton & Hove Albion,55700000.0,7,1,138400000.0,-82700000.0
2022,Premier League,Chelsea FC,630250000.0,17,2,67860000.0,562390000.0
2022,Premier League,Crystal Palace,46600000.0,6,1,5460000.0,41140000.0
2022,Premier League,Everton FC,83070000.0,9,2,103600000.0,-20530000.0
2022,Premier League,Fulham FC,76100000.0,14,5,25400000.0,50700000.0
2022,Premier League,Leeds United,163890000.0,11,1,114500000.0,49390000.0
2022,Premier League,Leicester City,49000000.0,5,1,81400000.0,-32400000.0
2022,Premier League,Liverpool FC,140900000.0,4,1,80100000.0,60800000.0
2022,Premier League,Manchester City,155000000.0,6,0,162170000.0,-7170000.0
2022,Premier League,Manchester United,243150000.0,9,4,23650000.0,219500000.0
2022,Premier League,Newcastle United,189100000.0,6,0,14057000.0,175043000.0
2022,Premier League,Nottingham Forest,198350000.0,30,5,5000000.0,193350000.0
2022,Premier League,Southampton FC,154210000.0,15,1,5500000.0,148710000.0
2022,Premier League,Tottenham Hotspur,179900000.0,10,3,38750000.0,141150000.0
2022,Premier League,West Ham United,196600000.0,9,0,21550000.0,175050000.0
2022,Premier League,Wolverhampton Wanderers,179507000.0,13,2,64870000.0,114637000.0
2023,Premier League,AFC Bournemouth,129890000.0,10,3,1500000.0,128390000.0
2023,Premier League,Arsenal FC,235100000.0,4,1,69200000.0,165900000.0
2023,Premier League,Aston Villa,111500000.0,8,2,33158000.0,78342000.0
2023,Premier League,Brentford FC,72350000.0,7,2,10250000.0,62100000.0
2023,Premier League,Brighton & Hove Albion,106850000.0,8,1,189000000.0,-82150000.0
2023,Premier League,Burnley FC,111050000.0,18,5,3800000.0,107250000.0
2023,Premier League,Chelsea FC,464100000.0,12,0,282200000.0,181900000.0
2023,Premier League,Crystal Palace,67800000.0,6,0,0.0,67800000.0
2023,Premier League,Everton FC,40500000.0,5,2,82800000.0,-42300000.0
2023,Premier League,Fulham FC,73170000.0,8,2,53200000.0,19970000.0
2023,Premier League,Liverpool FC,172000000.0,4,0,60700000.0,111300000.0
2023,Premier League,Luton Town,25900000.0,15,2,300000.0,25600000.0
2023,Premier League,Manchester City,259600000.0,5,0,138800000.0,120800000.0
2023,Premier League,Manchester United,210700000.0,7,2,63770000.0,146930000.0
2023,Premier League,Newcastle United,148100000.0,5,1,44600000.0,103500000.0
2023,Premier League,Nottingham Forest,131630000.0,17,6,82820000.0,48810000.0
2023,Premier League,Sheffield United,66950000.0,13,5,30900000.0,36050000.0
2023,Premier League,Tottenham Hotspur,272100000.0,11,1,120700000.0,151400000.0
2023,Premier League,West Ham United,144560000.0,6,1,172860000.0,-28300000.0
2023,Premier League,Wolverhampton Wanderers,94000000.0,9,2,169200000.0,-75200000.0
2024,Premier League,AFC Bournemouth,134900000.0,11,1,66090000.0,68810000.0
2024,Premier League,Arsenal FC,108900000.0,5,2,83790000.0,25110000.0
2024,Premier League,Aston Villa,214200000.0,13,3,257170000.0,-42970000.0
2024,Premier League,Brentford FC,98400000.0,6,1,74500000.0,23900000.0
2024,Premier League,Brighton & Hove Albion,281450000.0,12,0,49990000.0,231460000.0
2024,Premier League,Chelsea FC,281900000.0,13,1,239000000.0,42900000.0
