team_name,year,understat_season,position,pts,npxGD,xGA,revenue,wage_bill,top_15_next_2_seasons,predicted_stability_probability,model,exclude_big_six
Nottingham Forest,2022,2022/23,16,38,-26.60133300000001,68.459309,155.0,145.0,0,0.6989852322147381,financial_resource,True
Southampton,2021,2021/22,15,40,-18.73178000000001,64.557484,151.0,113.0,0,0.4018272909518538,financial_resource,True
Southampton,2022,2022/23,20,25,-24.483745,62.900044,146.0,123.0,0,0.484866309898466,financial_resource,True
Watford,2021,2021/22,19,23,-24.388179,67.53443,128.0,79.0,0,0.1884929080452936,financial_resource,True
West Ham,2021,2021/22,7,56,0.9510740000000056,53.87672200000001,253.0,136.0,1,0.5679695954700116,financial_resource,True
West Ham,2022,2022/23,14,40,-5.623793000000035,55.31217300000002,237.0,137.0,1,0.6587897988284093,financial_resource,True
Wolverhampton Wanderers,2021,2021/22,10,51,-12.589150099999998,58.48269700000001,166.0,121.0,1,0.4322523611418774,financial_resource,True
Wolverhampton Wanderers,2022,2022/23,13,41,-26.79406399999997,62.68203999999999,169.0,142.0,0,0.6709646397604296,financial_resource,True
Aston Villa,2021,2021/22,14,45,-7.571921000000024,53.09572500000001,178.0,137.0,1,0.6642933071457863,recruitment_efficiency,True
Aston Villa,2022,2022/23,7,61,-2.294278999999996,53.95553699999999,218.0,194.0,1,0.5711184324798675,recruitment_efficiency,True
Bournemouth,2022,2022/23,15,39,-22.189944,67.60209400000001,141.0,100.0,1,0.4355242703110593,recruitment_efficiency,True
Brentford,2021,2021/22,13,46,2.627949999999992,49.500452,141.0,59.7,0,0.47625378782208555,recruitment_efficiency,True
Brentford,2022,2022/23,9,59,3.206988999999993,51.453067,167.0,98.8,0,0.5368367690570858,recruitment_efficiency,True
Brighton,2021,2021/22,9,51,0.0725149999999956,47.211438,175.0,115.0,1,0.6106710559697277,recruitment_efficiency,True
Brighton,2022,2022/23,6,62,29.179226000000007,50.154518,204.0,128.0,1,0.630867403173931,recruitment_efficiency,True
Burnley,2021,2021/22,18,35,-16.8337517,60.22312,123.0,92.0,0,0.523751465556325,recruitment_efficiency,True
Crystal Palace,2021,2021/22,12,48,4.377117400000017,41.3314426,160.0,124.0,1,0.4895534817116409,recruitment_efficiency,True
Crystal Palace,2022,2022/23,11,45,-10.285157999999996,51.626247,180.0,130.0,1,0.5203338906829134,recruitment_efficiency,True
Everton,2021,2021/22,16,39,-20.03029400000001,60.694247,181.0,162.0,0,0.588046883433899,recruitment_efficiency,True
Everton,2022,2022/23,17,36,-17.649514399999973,68.58286199999999,172.0,159.0,1,0.6416035249445073,recruitment_efficiency,True
Fulham,2022,2022/23,10,52,-24.179839200000004,71.490811,182.0,139.0,1,0.45576597619124576,recruitment_efficiency,True
Leeds,2021,2021/22,17,38,-20.123538,71.30961199999999,189.0,121.0,0,0.35711663227006,recruitment_efficiency,True
Leeds,2022,2022/23,19,31,-19.501572000000003,69.58103300000002,190.0,146.0,0,0.5463649361872828,recruitment_efficiency,True
Leicester,2021,2021/22,8,52,-11.097022800000005,66.10659400000002,215.0,182.0,0,0.45199145671053326,recruitment_efficiency,True
Leicester,2022,2022/23,18,34,-11.650683500000014,59.789351,177.0,206.0,0,0.6747987888317296,recruitment_efficiency,True
Newcastle United,2021,2021/22,11,49,-18.745926999999995,62.711766,180.0,170.0,1,0.3974034685102931,recruitment_efficiency,True
Newcastle United,2022,2022/23,4,71,34.35964010000001,41.8562479,250.0,187.0,1,0.5238277869662482,recruitment_efficiency,True
Norwich,2021,2021/22,20,22,-41.488207200000005,80.07547500000003,134.0,118.0,0,0.4817661236847285,recruitment_efficiency,True
Nottingham Forest,2022,2022/23,16,38,-26.60133300000001,68.459309,155.0,145.0,0,0.4042936273182598,recruitment_efficiency,True
Southampton,2021,2021/22,15,40,-18.73178000000001,64.557484,151.0,113.0,0,0.531553269236379,recruitment_efficiency,True
Southampton,2022,2022/23,20,25,-24.483745,62.900044,146.0,123.0,0,0.3844305121445862,recruitment_efficiency,True
Watford,2021,2021/22,19,23,-24.388179,67.53443,128.0,79.0,0,0.41966768188248454,recruitment_efficiency,True
West Ham,2021,2021/22,7,56,0.9510740000000056,53.87672200000001,253.0,136.0,1,0.42000120883761216,recruitment_efficiency,True
West Ham,2022,2022/23,14,40,-5.623793000000035,55.31217300000002,237.0,137.0,1,0.3670642565187476,recruitment_efficiency,True
Wolverhampton Wanderers,2021,2021/22,10,51,-12.589150099999998,58.48269700000001,166.0,121.0,1,0.5397694378720992,recruitment_efficiency,True
Wolverhampton Wanderers,2022,2022/23,13,41,-26.79406399999997,62.68203999999999,169.0,142.0,0,0.442541014131951,recruitment_efficiency,True
Aston Villa,2021,2021/22,14,45,-7.571921000000024,53.09572500000001,178.0,137.0,1,0.7195049313433433,squad_and_manager,True
Aston Villa,2022,2022/23,7,61,-2.294278999999996,53.95553699999999,218.0,194.0,1,0.4126091933637256,squad_and_manager,True
Bournemouth,2022,2022/23,15,39,-22.189944,67.60209400000001,141.0,100.0,1,0.7638859798684696,squad_and_manager,True
Brentford,2021,2021/22,13,46,2.627949999999992,49.500452,141.0,59.7,0,0.846189637667261,squad_and_manager,True
Brentford,2022,2022/23,9,59,3.206988999999993,51.453067,167.0,98.8,0,0.700105333449494,squad_and_manager,True
Brighton,2021,2021/22,9,51,0.0725149999999956,47.211438,175.0,115.0,1,0.7304103806979209,squad_and_manager,True
Brighton,2022,2022/23,6,62,29.179226000000007,50.154518,204.0,128.0,1,0.6320958051427238,squad_and_manager,True
Burnley,2021,2021/22,18,35,-16.8337517,60.22312,123.0,92.0,0,0.03254245360691309,squad_and_manager,True
Crystal Palace,2021,2021/22,12,48,4.377117400000017,41.3314426,160.0,124.0,1,0.5340730653823,squad_and_manager,True
Crystal Palace,2022,2022/23,11,45,-10.285157999999996,51.626247,180.0,130.0,1,0.3451253563932185,squad_and_manager,True
Everton,2021,2021/22,16,39,-20.03029400000001,60.694247,181.0,162.0,0,0.48204009804172715,squad_and_manager,True
Everton,2022,2022/23,17,36,-17.649514399999973,68.58286199999999,172.0,159.0,1,0.3907246441455312,squad_and_manager,True
Fulham,2022,2022/23,10,52,-24.179839200000004,71.490811,182.0,139.0,1,0.7062971001038911,squad_and_manager,True
Leeds,2021,2021/22,17,38,-20.123538,71.30961199999999,189.0,121.0,0,0.4673773302249037,squad_and_manager,True
Leeds,2022,2022/23,19,31,-19.501572000000003,69.58103300000002,190.0,146.0,0,0.3932975506796558,squad_and_manager,True
Leicester,2021,2021/22,8,52,-11.097022800000005,66.10659400000002,215.0,182.0,0,0.436825967404047,squad_and_manager,True
Leicester,2022,2022/23,18,34,-11.650683500000014,59.789351,177.0,206.0,0,0.36189953073010406,squad_and_manager,True
Newcastle United,2021,2021/22,11,49,-18.745926999999995,62.711766,180.0,170.0,1,0.4630740877916434,squad_and_manager,True
Newcastle United,2022,2022/23,4,71,34.35964010000001,41.8562479,250.0,187.0,1,0.7021985422125244,squad_and_manager,True
Norwich,2021,2021/22,20,22,-41.488207200000005,80.07547500000003,134.0,118.0,0,0.5457849891913102,squad_and_manager,True
Nottingham Forest,2022,2022/23,16,38,-26.60133300000001,68.459309,155.0,145.0,0,0.753039800682796,squad_and_manager,True
Southampton,2021,2021/22,15,40,-18.73178000000001,64.557484,151.0,113.0,0,0.3231600949578677,squad_and_manager,True
Southampton,2022,2022/23,20,25,-24.483745,62.900044,146.0,123.0,0,0.41928233441550633,squad_and_manager,True
Watford,2021,2021/22,19,23,-24.388179,67.53443,128.0,79.0,0,0.2416359641990211,squad_and_manager,True
West Ham,2021,2021/22,7,56,0.9510740000000056,53.87672200000001,253.0,136.0,1,0.4039948893737392,squad_and_manager,True
West Ham,2022,2022/23,14,40,-5.623793000000035,55.31217300000002,237.0,137.0,1,0.42525982651815025,squad_and_manager,True
Wolverhampton Wanderers,2021,2021/22,10,51,-12.589150099999998,58.48269700000001,166.0,121.0,1,0.7087792476953191,squad_and_manager,True
Wolverhampton Wanderers,2022,2022/23,13,41,-26.79406399999997,62.68203999999999,169.0,142.0,0,0.5346985259795058,squad_and_manager,True
Aston Villa,2021,2021/22,14,45,-7.571921000000024,53.09572500000001,178.0,137.0,1,0.4309352984484642,full_model,True
Aston Villa,2022,2022/23,7,61,-2.294278999999996,53.95553699999999,218.0,194.0,1,0.6312098285863817,full_model,True
Bournemouth,2022,2022/23,15,39,-22.189944,67.60209400000001,141.0,100.0,1,0.16470397617767008,full_model,True
Brentford,2021,2021/22,13,46,2.627949999999992,49.500452,141.0,59.7,0,0.2578408805821814,full_model,True
Brentford,2022,2022/23,9,59,3.206988999999993,51.453067,167.0,98.8,0,0.45634141386151994,full_model,True
Brighton,2021,2021/22,9,51,0.0725149999999956,47.211438,175.0,115.0,1,0.3117541764829266,full_model,True
Brighton,2022,2022/23,6,62,29.179226000000007,50.154518,204.0,128.0,1,0.08028862720017368,full_model,True
Burnley,2021,2021/22,18,35,-16.8337517,60.22312,123.0,92.0,0,0.037645267870955346,full_model,True
Crystal Palace,2021,2021/22,12,48,4.377117400000017,41.3314426,160.0,124.0,1,0.6711680327273488,full_model,True
Crystal Palace,2022,2022/23,11,45,-10.285157999999996,51.626247,180.0,130.0,1,0.22342486456664645,full_model,True
Everton,2021,2021/22,16,39,-20.03029400000001,60.694247,181.0,162.0,0,0.533583208008634,full_model,True
Everton,2022,2022/23,17,36,-17.649514399999973,68.58286199999999,172.0,159.0,1,0.42212760476425465,full_model,True
Fulham,2022,2022/23,10,52,-24.179839200000004,71.490811,182.0,139.0,1,0.2818032076196629,full_model,True
Leeds,2021,2021/22,17,38,-20.123538,71.30961199999999,189.0,121.0,0,0.087813970540356,full_model,True
Leeds,2022,2022/23,19,31,-19.501572000000003,69.58103300000002,190.0,146.0,0,0.09550606098296231,full_model,True
Leicester,2021,2021/22,8,52,-11.097022800000005,66.10659400000002,215.0,182.0,0,0.6835373659682189,full_model,True
Leicester,2022,2022/23,18,34,-11.650683500000014,59.789351,177.0,206.0,0,0.8607274654188473,full_model,True
Newcastle United,2021,2021/22,11,49,-18.745926999999995,62.711766,180.0,170.0,1,0.8024887964648721,full_model,True
Newcastle United,2022,2022/23,4,71,34.35964010000001,41.8562479,250.0,187.0,1,0.6533222142201298,full_model,True
Norwich,2021,2021/22,20,22,-41.488207200000005,80.07547500000003,134.0,118.0,0,0.11371444040889907,full_model,True
Nottingham Forest,2022,2022/23,16,38,-26.60133300000001,68.459309,155.0,145.0,0,0.7574944552791223,full_model,True
Southampton,2021,2021/22,15,40,-18.73178000000001,64.557484,151.0,113.0,0,0.2860494933823056,full_model,True
Southampton,2022,2022/23,20,25,-24.483745,62.900044,146.0,123.0,0,0.14094120101848215,full_model,True
Watford,2021,2021/22,19,23,-24.388179,67.53443,128.0,79.0,0,0.03662853182556156,full_model,True
West Ham,2021,2021/22,7,56,0.9510740000000056,53.87672200000001,253.0,136.0,1,0.5594766380771391,full_model,True
West Ham,2022,2022/23,14,40,-5.623793000000035,55.31217300000002,237.0,137.0,1,0.7047384986381304,full_model,True
Wolverhampton Wanderers,2021,2021/22,10,51,-12.589150099999998,58.48269700000001,166.0,121.0,1,0.4667057104915666,full_model,True
Wolverhampton Wanderers,2022,2022/23,13,41,-26.79406399999997,62.68203999999999,169.0,142.0,0,0.30542205060412275,full_model,True
Arsenal,2021,2021/22,5,69,13.368983999999998,48.389506,367.0,212.0,1,0.9506735744029811,full_model_all_clubs_sensitivity,False
Arsenal,2022,2022/23,2,84,32.110088700000006,45.16339229999999,463.0,235.0,1,0.9613137685025426,full_model_all_clubs_sensitivity,False
Aston Villa,2021,2021/22,14,45,-7.571921000000024,53.09572500000001,178.0,137.0,1,0.5110576051856469,full_model_all_clubs_sensitivity,False
Aston Villa,2022,2022/23,7,61,-2.294278999999996,53.95553699999999,218.0,194.0,1,0.6489791884600863,full_model_all_clubs_sensitivity,False
Bournemouth,2022,2022/23,15,39,-22.189944,67.60209400000001,141.0,100.0,1,0.08739327742137902,full_model_all_clubs_sensitivity,False
Brentford,2021,2021/22,13,46,2.627949999999992,49.500452,141.0,59.7,0,0.3032688908325419,full_model_all_clubs_sensitivity,False
Brentford,2022,2022/23,9,59,3.206988999999993,51.453067,167.0,98.8,0,0.26047066986558504,full_model_all_clubs_sensitivity,False
Brighton,2021,2021/22,9,51,0.0725149999999956,47.211438,175.0,115.0,1,0.31466174698582833,full_model_all_clubs_sensitivity,False
Brighton,2022,2022/23,6,62,29.179226000000007,50.154518,204.0,128.0,1,0.1655124230406325,full_model_all_clubs_sensitivity,False
Burnley,2021,2021/22,18,35,-16.8337517,60.22312,123.0,92.0,0,0.012865114763896039,full_model_all_clubs_sensitivity,False
